vehicle_id,make,model,year,fuel_type,mileage,branch,status,daily_rate,last_service_date
V075,Nissan,X-Trail,2024,hybrid,5670,Nottingham,on_rent,46.00,2026-01-30
V076,Vauxhall,Astra Sports Tourer,2023,diesel,16890,Manchester,on_rent,42.00,2025-10-28
V077,Ford,Explorer,2024,hybrid,4560,Birmingham,available,52.00,2026-03-10
V078,Toyota,GR Yaris,2023,petrol,8920,Leeds,maintenance,40.00,2025-11-15
V079,Mercedes-Benz,EQA,2024,electric,3450,Sheffield,available,54.00,2026-02-26
V080,BMW,X3,2023,diesel,17230,Nottingham,on_rent,58.00,2025-08-22
V081,Kia,Stonic,2024,petrol,4120,Manchester,available,32.00,2026-03-04
V082,Volkswagen,ID.4,2024,electric,5890,Birmingham,on_rent,50.00,2026-01-12
V083,Ford,Tourneo Connect,2023,diesel,14560,Leeds,on_rent,56.00,2025-10-20
V084,Peugeot,2008,2024,electric,3670,Sheffield,available,36.00,2026-03-22
V085,Vauxhall,Combo-e,2024,electric,4890,Nottingham,maintenance,52.00,2026-02-06
V086,Toyota,Corolla Touring Sports,2023,hybrid,13450,Manchester,on_rent,40.00,2025-09-25
V087,Nissan,Primastar,2022,diesel,28340,Birmingham,on_rent,60.00,2025-07-08
V088,Ford,Transit Custom,2023,diesel,19560,Leeds,maintenance,66.00,2025-08-18
V089,Mercedes-Benz,B-Class,2024,petrol,5230,Sheffield,on_rent,46.00,2026-01-08
V090,BMW,4 Series,2023,diesel,15670,Nottingham,available,54.00,2025-12-12
V091,Kia,ProCeed,2023,petrol,11890,Manchester,on_rent,38.00,2025-10-15
V092,Volkswagen,Amarok,2024,diesel,6780,Birmingham,available,76.00,2026-03-08
V093,Ford,S-Max,2022,diesel,32450,Leeds,on_rent,48.00,2025-06-15
V094,Toyota,Camry,2024,hybrid,4120,Sheffield,available,44.00,2026-02-28
V095,Vauxhall,Insignia,2022,diesel,34560,Nottingham,on_rent,40.00,2025-05-30
V096,Peugeot,5008,2023,hybrid,13780,Manchester,available,46.00,2025-11-28
V097,Nissan,Navara,2023,diesel,17890,Birmingham,maintenance,68.00,2025-09-02
V098,Ford,EcoSport,2022,petrol,25670,Leeds,on_rent,34.00,2025-07-22
V099,Mercedes-Benz,Sprinter,2024,diesel,6340,Sheffield,on_rent,88.00,2026-02-18
V100,BMW,i4,2024,electric,3890,Nottingham,available,56.00,2026-03-25
